,departamento,Departamento de Matemáticas,,,,,,,,,,,input_type,evidence_kind
,campus,Campus Hermosillo. Universidad de Sonora,,,,,,,,,,,,
,titulo,CRITERIOS DE EVALUACIÓN CURRICULAR PARA EL INGRESO DE PERSONAL ACADÉMICO DE ASIGNATURA,,,,,,,,,,,,
,area,Área de trabajo o asignatura:,,,,,,,,,,,,
,VIII.B.,Participación en comisiones,,,,,,,,,,,,
,,De evaluación o dictaminación de proyectos académicos,2,1,0.5,,,,0,0,0,number,,
,,Jurado para ingreso de personal académico,3,1.5,0.75,,,,0,0,0,number,,
,,Acreditación de programas académicos,4,2,1,,,,0,0,0,number,,
,VIII.C.,Organización de evento o congreso académico,,,,,,,,,,,,
,,Regional o local,2,1,0.5,,,,0,0,0,number,,
,,Nacional,3,1.5,0.75,,,,0,0,0,number,,
,,Internacional,4,2,1,,,,0,0,0,number,,
,VIII.D.,Colaboración en evento o congreso académico,,,,,,,,,,,,
,,Regional o local,0.5,0.25,0.125,,,,0,0,0,number,,
,,Nacional,1,0.5,0.25,,,,0,0,0,number,,
,,Internacional,1.5,0.75,0.375,,,,0,0,0,number,,
,VIII.E.,Organización de eventos académicos de difusión y extensión ,1,0.5,0.25,,,,0,0,0,number,,
,VIII.F.,Producción de materiales para actividades de difusión,,,,,,,,,,,,
,,Responsable,2,1,0.5,,,,0,0,0,number,,
,,Colaborador,1,0.5,0.25,,,,0,0,0,number,,
,VIII.G.,"Responsable de proyecto de colaboración o de prestación de servicios con el sector privado, público o social.",,,,,,,,,,,,
,,Responsable,2,1,0.5,,,,0,0,0,number,,
,,Colaborador,1,0.5,0.25,,,,0,0,0,number,,
,,Sumas Parciales ,,,,,,,0,0,0,,,
,,"Puntajes máximos por columna:  15 puntos para columna C, 30 puntos para la suma de B y C",,,,,,,0,0,0,,,
,,SUBTOTAL,,,,,,,0,,,,,
,,,,,,,,,,,,,,
,,PUNTUACIÓN TOTAL,,,,,,,0,,,,,
